db-1  | 2026-03-02 18:42:11.733 UTC [24715] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:10.935 UTC [24779] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:16.006 UTC [24780] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:21.078 UTC [24781] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:26.150 UTC [24782] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:31.220 UTC [24783] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:36.291 UTC [24784] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:41.362 UTC [24785] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:46.434 UTC [24786] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:51.505 UTC [24787] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:56.576 UTC [24788] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:01.648 UTC [24789] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:06.719 UTC [24791] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:11.790 UTC [24792] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:16.861 UTC [24793] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:21.933 UTC [24794] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:27.004 UTC [24795] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:32.075 UTC [24796] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:37.146 UTC [24797] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:42.218 UTC [24798] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:47.289 UTC [24799] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:52.359 UTC [24800] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:48:57.430 UTC [24801] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:02.502 UTC [24802] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:07.572 UTC [24804] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:12.643 UTC [24805] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:17.713 UTC [24806] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:22.783 UTC [24807] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:27.854 UTC [24808] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:32.925 UTC [24809] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:37.995 UTC [24810] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:43.066 UTC [24811] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:48.137 UTC [24812] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:53.208 UTC [24813] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:49:58.279 UTC [24814] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:03.350 UTC [24815] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:08.420 UTC [24817] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:13.491 UTC [24818] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:18.562 UTC [24819] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:23.633 UTC [24820] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:28.704 UTC [24821] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:33.774 UTC [24822] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:38.845 UTC [24823] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:43.916 UTC [24824] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:48.987 UTC [24825] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:54.058 UTC [24826] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:50:59.128 UTC [24827] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:04.200 UTC [24829] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:07.879 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-03-02 18:51:08.094 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.202 s, sync=0.002 s, total=0.215 s; sync files=2, longest=0.002 s, average=0.001 s; distance=4 kB, estimate=131 kB; lsn=0/E5DEA40, redo lsn=0/E5DEA08
db-1  | 2026-03-02 18:51:09.270 UTC [24830] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:14.340 UTC [24831] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:19.411 UTC [24832] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:24.482 UTC [24833] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:29.553 UTC [24834] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:34.624 UTC [24835] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:39.695 UTC [24836] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:44.766 UTC [24837] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:49.840 UTC [24838] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:54.913 UTC [24839] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:51:59.984 UTC [24840] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:05.056 UTC [24842] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:10.127 UTC [24843] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:15.199 UTC [24844] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:20.271 UTC [24845] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:25.342 UTC [24846] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:30.413 UTC [24847] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:35.484 UTC [24848] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:40.555 UTC [24849] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:45.626 UTC [24850] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:50.697 UTC [24851] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:52:55.768 UTC [24852] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:00.839 UTC [24853] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:05.910 UTC [24855] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:10.981 UTC [24856] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:16.052 UTC [24857] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:21.124 UTC [24858] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:26.196 UTC [24859] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:31.268 UTC [24860] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:36.339 UTC [24861] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:41.410 UTC [24862] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:46.481 UTC [24863] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:51.552 UTC [24864] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:53:56.622 UTC [24865] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:01.694 UTC [24866] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:06.765 UTC [24868] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:11.836 UTC [24869] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:16.907 UTC [24870] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:21.978 UTC [24871] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:27.049 UTC [24872] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:32.120 UTC [24873] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:37.191 UTC [24874] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:42.263 UTC [24875] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:47.334 UTC [24876] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:52.406 UTC [24877] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:54:57.477 UTC [24878] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:02.546 UTC [24879] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:07.617 UTC [24881] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:12.688 UTC [24882] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:17.759 UTC [24883] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:22.830 UTC [24884] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:27.902 UTC [24885] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:32.973 UTC [24886] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:38.043 UTC [24887] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:43.114 UTC [24888] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:48.190 UTC [24889] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:53.262 UTC [24890] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:55:58.333 UTC [24891] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:03.405 UTC [24892] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:08.476 UTC [24894] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:13.548 UTC [24895] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:18.619 UTC [24896] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:23.698 UTC [24897] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:28.769 UTC [24898] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:33.840 UTC [24899] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:38.911 UTC [24900] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:44.002 UTC [24901] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:49.082 UTC [24902] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:54.151 UTC [24903] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:56:59.229 UTC [24904] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:04.300 UTC [24905] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:09.369 UTC [24907] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:14.441 UTC [24908] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:19.512 UTC [24909] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:24.583 UTC [24910] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:29.654 UTC [24911] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:34.726 UTC [24912] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:39.796 UTC [24913] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:44.868 UTC [24914] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:49.938 UTC [24915] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:57:55.010 UTC [24916] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:00.080 UTC [24917] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:05.151 UTC [24919] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:10.220 UTC [24920] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:15.292 UTC [24921] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:20.362 UTC [24922] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:25.434 UTC [24923] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:30.505 UTC [24924] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:35.577 UTC [24925] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:58:40.647 UTC [24926] WARNING:  there is already a transaction in progress
